Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Pkg_Name,Pkg_URL
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,DVB-S2,32720,3/4,11800 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,DVB-S2,32720,3/4,11800 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,DVB-S2,32720,3/4,11800 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,DVB-S2,32720,3/4,11800 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,DVB-S2,32720,3/4,11800 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,DVB-S2,32720,3/4,11800 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,DVB-S2,32720,3/4,11800 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,DVB-S2,32720,3/4,11840 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11840 V,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,DVB-S2,32720,3/4,11880 H,,,"Irdeto,Videoguard",,Tata Play,https://www.lyngsat.com/packages/Tata-Play.html
